Month,Month.adj,Month_num,Lake,FishID,Mass,Length,JOIN_ID,Fibrosis,Sex,Schisto_Free,Schisto_cyst,wormbiomass_fishmass,Total_Worms,ln_wormweight,total_worm_wt,Season,max_worm_wt
JUL,JUL.23,1,BLA,42,0.95,41.38,BLA_49_A,1,M,2,0,0.12578947368421053,2,0.11288215705667241,0.1195,Summer,0.0638
JUL,JUL.23,1,BLA,43,1.47,50.79,BLA_50_A,1,F,0,0,0,0,0,0,Summer,0
JUL,JUL.23,1,BLA,44,1.61,52.71,BLA_51_A,1,F,0,0,0,0,0,0,Summer,0
JUL,JUL.23,1,BLA,45,1,42.3,BLA_52_A,2,M,5,0,0.1448,5,0.13522994926010415,0.1448,Summer,0.0527
JUL,JUL.23,1,BLA,46,1.06,44.55,BLA_53_A,0,F,0,0,0,0,0,0,Summer,0
JUL,JUL.23,1,BLA,47,0.6,38.56,BLA_54_A,2,Juve,0,0,0,0,0,0,Summer,0
JUL,JUL.23,1,BLA,48,0.93,43.3,BLA_55_A,0.5,F,0,0,0,0,0,0,Summer,0
JUL,JUL.23,1,BLA,49,0.94,43.84,BLA_56_A,0.5,F,0,0,0,0,0,0,Summer,0
JUL,JUL.23,1,BLA,50,0.88,40.7,BLA_57_A,1,Juve,0,0,0,0,0,0,Summer,0
JUL,JUL.23,1,FRE,1,0.84,43.05,FRE_58_A,1,M,2,0,0.06785714285714285,2,0.055434706888100524,0.056999999999999995,Summer,0.0537
JUL,JUL.23,1,FRE,2,1,44.14,FRE_59_A,1,F,5,0,0.10429999999999999,5,0.09921165007094813,0.10429999999999999,Summer,0.0672
JUL,JUL.23,1,FRE,3,0.62,37.05,FRE_60_A,1,M,5,0,0.10661290322580644,5,0.06400712997429242,0.06609999999999999,Summer,0.0462
JUL,JUL.23,1,FRE,4,1.04,46.16,FRE_61_A,0,F,0,0,0,0,0,0,Summer,0
JUL,JUL.23,1,FRE,5,0.62,37.35,FRE_62_A,1,M,2,0,0.03935483870967742,2,0.024107075343233104,0.024399999999999998,Summer,0.0202
JUL,JUL.23,1,FRE,6,1.09,44.73,FRE_63_A,0,F,0,0,0,0,0,0,Summer,0
JUL,JUL.23,1,FRE,7,1.08,45.23,FRE_64_A,0,F,1,0,0.053148148148148146,1,0.055813064819212686,0.0574,Summer,0.0574
JUL,JUL.23,1,FRE,8,1.24,46.76,FRE_65_A,1,F,2,0,0.13330645161290322,2,0.1529785645970806,0.1653,Summer,0.1162
JUL,JUL.23,1,FRE,9,1.24,48.66,FRE_66_A,1,F,3,0,0.1529032258064516,3,0.17361711616380826,0.1896,Summer,0.1081
JUL,JUL.23,1,FRE,10,0.9,42.74,FRE_67_A,0,F,1,0,0.14166666666666666,1,0.12000279239469631,0.1275,Summer,0.1275
JUL,JUL.23,1,FRE,11,1.6,50.58,FRE_68_A,2,F,2,0,0.15162499999999998,2,0.21720595864745637,0.24259999999999998,Summer,0.173
JUL,JUL.23,1,FRE,12,1.23,46.76,FRE_69_A,1,F,1,0,0.06869918699186993,1,0.08111905128479203,0.0845,Summer,0.0845
JUL,JUL.23,1,FRE,13,0.99,43.76,FRE_70_A,1,F,0,0,0,0,0,0,Summer,0
JUL,JUL.23,1,FRE,14,1.14,44.85,FRE_71_A,2,F,8,0,0.2812280701754386,8,0.2780861787783339,0.3206,Summer,0.169
JUL,JUL.23,1,FRE,15,1,44.92,FRE_72_A,0,F,0,0,0,0,0,0,Summer,0
JUL,JUL.23,1,FRE,16,0.74,39.72,FRE_73_A,2,M,5,0,0.10000000000000002,5,0.071389996086673,0.07400000000000001,Summer,0.0396
JUL,JUL.23,1,FRE,17,1.23,45.05,FRE_74_A,2,F,4,0,0.15390243902439021,4,0.17336489875106262,0.18929999999999997,Summer,0.076
JUL,JUL.23,1,FRE,18,0.91,43.31,FRE_75_A,1,F,0,0,0,0,0,0,Summer,0
JUL,JUL.23,1,FRE,19,1,44.43,FRE_76_A,2,F,2,0,0.0903,2,0.08645288773019906,0.0903,Summer,0.0675
JUL,JUL.23,1,FRE,20,1.91,50.1,FRE_77_A,0,F,0,0,0,0,0,0,Summer,0
JUL,JUL.23,1,FRE,21,1.09,44.63,FRE_78_A,0,F,2,0,0.06743119266055045,2,0.07092433833669858,0.0735,Summer,0.0375
JUL,JUL.23,1,FRE,22,0.95,44.37,FRE_79_A,1,M,0,0,0,0,0,0,Summer,0
JUL,JUL.23,1,FRE,23,0.9,41.99,FRE_80_A,1,F,1,0,0.08422222222222223,1,0.07306457085700523,0.0758,Summer,0.0758
JUL,JUL.23,1,FRE,24,0.66,38.55,FRE_81_A,0,M,0,0,0,0,0,0,Summer,0
JUL,JUL.23,1,FRE,25,0.88,41.84,FRE_82_A,1,F,1,0,0.08625,1,0.0731575206177265,0.0759,Summer,0.0759
JUL,JUL.23,1,FRE,26,0.77,42.28,FRE_83_A,0,F,0,0,0,0,0,0,Summer,0
