"","month","loon_calls","month_num"
"1","January",0,1
"2","February",4,2
"3","March",27,3
"4","April",35,4
"5","May",30,5
"6","June",24,6
"7","July",9,7
"8","August",20,8
"9","September",4,9
"10","October",2,10
"11","November",0,11
"12","December",0,12
