"","month","piscivore_calls","n_species","month_num"
"1","January",44,7,1
"2","February",51,9,2
"3","March",83,12,3
"4","April",138,14,4
"5","May",156,20,5
"6","June",118,11,6
"7","July",44,10,7
"8","August",84,14,8
"9","September",88,18,9
"10","October",99,15,10
"11","November",48,6,11
"12","December",39,5,12
